id,title,description,max_players,user_id,rating_id,image_url,,,,,,,,,,,,,,
1,Super Mario Bros.,"Players control Mario, or his brother Luigi in the multiplayer mode, as they travel the Mushroom Kingdom to rescue Princess Toadstool from Bowser (King Koopa). They traverse side-scrolling stages while avoiding hazards such as enemies and pits with the aid of power-ups such as the Super Mushroom, Fire Flower and Starman.",2,1,1,https://en.wikipedia.org/wiki/Super_Mario_Bros.#/media/File:Super_Mario_Bros._box.png,,,,,,,,,,,,,,
2,The Legend of Zelda,"Set in the fantasy land of Hyrule, the plot centers on an elf-like boy named Link, who aims to collect the eight fragments of the Triforce of Wisdom in order to rescue Princess Zelda from the antagonist, Ganon.",1,1,1,https://en.wikipedia.org/wiki/The_Legend_of_Zelda#/media/File:Zelda_2017.svg,,,,,,,,,,,,,,
3,Mike Tyson's Punch-Out!,"Punch-Out!! features a boxer known as Little Mac, fighting his way up through ranks of the World Video Boxing Association.",1,1,1,https://en.wikipedia.org/wiki/Punch-Out!!_(NES)#/media/File:Punch-out_mrdream_boxart.PNG,,,,,,,,,,,,,,
4,Mega Man 2,"Mega Man 2 is a platform and action game like its predecessor, Mega Man. The player controls Mega Man as he traverses eight stages to defeat the bosses, Dr. Wily's Robot Masters: Metal Man, Air Man, Bubble Man, Quick Man, Crash Man, Flash Man, Heat Man, and Wood Man.",1,1,1,https://en.wikipedia.org/wiki/Mega_Man_2#/media/File:Megaman2_box.jpg,,,,,,,,,,,,,,
5,Ninja Gaiden,Ninja Gaiden features a ninja named Ryu Hayabusa who seeks revenge for the death of his father and gradually finds himself involved in a sinister plot that threatens the entire world.,1,1,1,https://en.wikipedia.org/wiki/Ninja_Gaiden#/media/File:Ninja_Gaiden_logo.png,,,,,,,,,,,,,,
6,Super Mario Bros. 3,"Super Mario Bros. 3 is a two-dimensional, side-scrolling platform game in which the player controls either Mario or Luigi. The game shares similar gameplay mechanics with previous games in the series.",2,1,1,https://en.wikipedia.org/wiki/Super_Mario_Bros._3#/media/File:Super_Mario_Bros._3_coverart.png,,,,,,,,,,,,,,
7,Prince of Persia,"The game is set in medieval Persia. While the sultan is fighting a war in a foreign land, his vizier Jaffar, a wizard, seizes power. His only obstacle to the throne is the Sultan's daughter. Jaffar locks her in a tower and orders her to become his wife, or she would die within 60 minutes.",1,1,1,https://en.wikipedia.org/wiki/Prince_of_Persia#/media/File:Princeofpersialogo.jpg,,,,,,,,,,,,,,
8,SimCity,"The objective of SimCity is to build and design a city, without specific goals to achieve.",1,1,2,https://en.wikipedia.org/wiki/SimCity#/media/File:Logo_of_SimCity.png,,,,,,,,,,,,,,
9,The Secret of Monkey Island,"The Secret of Monkey Island is a 2D adventure game played from a third-person perspective. Via a point-and-click interface, the player guides protagonist Guybrush Threepwood through the game's world and interacts with the environment by selecting from twelve verb commands (nine in newer versions) such as talk to"" for communicating with characters and ""pick up"" for collecting items between commands and the world's objects in order to successfully solve puzzles and thus progress in the game.""",1,1,2,https://en.wikipedia.org/wiki/The_Secret_of_Monkey_Island#/media/File:The_Secret_of_Monkey_Island_artwork.jpg,,,,,,,,,,,,,,
10,Super Mario World,"Super Mario World is a side-scrolling platform game in which the player controls Mario or Luigi, the protagonists of the game. The game has similar gameplay to earlier games in the Super Mario series.",2,1,1,https://en.wikipedia.org/wiki/Super_Mario_World#/media/File:Super_Mario_World_Coverart.png,,,,,,,,,,,,,,
11,Civilization,"Civilization is a turn-based single or multiplayer strategy game. The player takes on the role of the ruler of a civilization, starting with one (or occasionally two) settler units, and attempts to build an empire in competition with two to seven other civilizations. The game requires a fair amount of micromanagement (although less than other simulation games).",1,1,3,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
12,The Legend of Zelda: A Link to the Past,"The story is officially set many years before the events of the first two Zelda games. The player assumes the role of Link as he journeys to save Hyrule, defeat the demon king Ganon, and rescue the descendants of the Seven Sages.",1,1,2,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
13,Lemmings,"The objective of the game is to guide a group of anthropomorphised lemmings through a number of obstacles to a designated exit. To save the required number of lemmings to win, one must determine how to assign a limited number of eight different skills to specific lemmings that allow the selected lemming to alter the landscape, to affect the behaviour of other lemmings, or to clear obstacles to create a safe passage for the rest of the lemmings.",1,1,1,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
14,Monkey Island 2: LeChuck's Revenge,"Monkey Island 2: LeChuck's Revenge is an adventure game developed and published by LucasArts in 1991. A sequel to 1990's The Secret of Monkey Island, it is the second game in the Monkey Island series.",1,1,2,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
15,Sonic the Hedgehog,"Sonic the Hedgehog is a 2D side-scrolling platform game. The gameplay centers on Sonic the Hedgehog's ability to run at high speed through levels that include springs, slopes, bottomless pits, and vertical loops.",1,1,1,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
16,Street Fighter II,"Street Fighter II: The World Warrior is a competitive fighting game developed by Capcom and originally released for arcades in 1991. It is the second installment in the Street Fighter series and the sequel to Street Fighter, released in 1987.",2,1,3,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
17,Dune II,"The player takes the role of the commander of one of the three interplanetary houses, the Atreides, the Harkonnen or the Ordos, with the objective of wresting control of Arrakis from the other two houses.",1,1,2,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
